---- START at 2025-03-26 22:58:33, Target=6013/6013 ----
[1/6013] __pycache__ FAILED: Command '/home/ys/Research/PSID_server_room/simulations/[02]RASPA/bin/simulate simulation.input' died with <Signals.SIGSEGV: 11>.
[47/6013] COTVOY_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=60.0s, Completed=42/6013, ETA=2025-03-27 03:41:48
[37/6013] EXUHEM_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=82.5s, Completed=43/6013, ETA=2025-03-27 03:41:26
[50/6013] ZOMKAP_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=57.0s, Completed=44/6013, ETA=2025-03-27 03:36:23
[51/6013] BEPNUH_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=61.9s, Completed=45/6013, ETA=2025-03-27 03:42:05
[45/6013] LACYEW_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=73.8s, Completed=46/6013, ETA=2025-03-27 03:40:22
[42/6013] MEXDAU_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=80.6s, Completed=47/6013, ETA=2025-03-27 03:36:27
[18/6013] HAJDII_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=131.7s, Completed=48/6013, ETA=2025-03-27 03:33:31
[60/6013] VUHMUI_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=45.4s, Completed=49/6013, ETA=2025-03-27 03:39:10
[58/6013] MEGBAD_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=57.3s, Completed=50/6013, ETA=2025-03-27 03:42:59
[54/6013] PEJFIU_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=70.6s, Completed=51/6013, ETA=2025-03-27 03:38:14
[52/6013] ILOJEZ_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=76.0s, Completed=52/6013, ETA=2025-03-27 03:34:36
[6/6013] HUZYAE_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=146.7s, Completed=53/6013, ETA=2025-03-27 03:35:55
[56/6013] SUKRIB_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=69.9s, Completed=54/6013, ETA=2025-03-27 03:33:13
[70/6013] HEZPIL01_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=43.1s, Completed=55/6013, ETA=2025-03-27 03:28:27
[73/6013] MEYLIN_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=42.8s, Completed=56/6013, ETA=2025-03-27 03:31:34
[67/6013] BEVRAW_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=53.7s, Completed=57/6013, ETA=2025-03-27 03:28:30
[69/6013] ja4015666_si_003_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=57.4s, Completed=58/6013, ETA=2025-03-27 03:33:34
[62/6013] LUFNEG_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=69.3s, Completed=59/6013, ETA=2025-03-27 03:36:29
[61/6013] VICSIL_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=74.3s, Completed=60/6013, ETA=2025-03-27 03:38:39
[71/6013] CENJIQ_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=62.5s, Completed=61/6013, ETA=2025-03-27 03:35:21
[64/6013] YINCOP_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=71.3s, Completed=62/6013, ETA=2025-03-27 03:32:08
[80/6013] FAGVUH_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=42.7s, Completed=63/6013, ETA=2025-03-27 03:32:12
[63/6013] TUVDOD_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=78.8s, Completed=64/6013, ETA=2025-03-27 03:32:25
[76/6013] IYEPUZ_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=57.8s, Completed=65/6013, ETA=2025-03-27 03:30:44
[66/6013] c6cp03028a_c6cp03028a3_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=80.1s, Completed=66/6013, ETA=2025-03-27 03:29:46
