,name,gas,pressure,temp,cutoff,path,Average loading absolute [mol/kg framework],Average loading excess [mol/kg framework],Average loading absolute [molecules/unit cell],Average loading excess [molecules/unit cell]
2050,MESGIB_clean,helium,0.1,293.0,14.0,MESGIB_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0009443399,0.0009443399,0.00405,0.00405
2051,METYIU_clean,helium,0.1,293.0,14.0,METYIU_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0011274901,0.0011274901,0.0034875,0.0034875
2052,MEXDAU01_clean,helium,0.1,293.0,14.0,MEXDAU01_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.000907423,0.000907423,0.0010510417,0.0010510417
2053,MEXDAU_clean,helium,0.1,293.0,14.0,MEXDAU_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0009281076,0.0009281076,0.001075,0.001075
2054,MEXDEY_clean,helium,0.1,293.0,14.0,MEXDEY_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0005424128,0.0005424128,0.0017104167,0.0017104167
2055,MEXJAC_clean,helium,0.1,293.0,14.0,MEXJAC_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0014686173,0.0014686173,0.00431875,0.00431875
2056,MEYLIN_clean,helium,0.1,293.0,14.0,MEYLIN_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0006918399,0.0006918399,0.0011354167,0.0011354167
2057,MICCIM_clean,helium,0.1,293.0,14.0,MICCIM_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0022380217,0.0022380217,0.0050125,0.0050125
2058,MICNAO_clean,helium,0.1,293.0,14.0,MICNAO_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0014579262,0.0014579262,0.0090625,0.0090625
2059,MICNUI_clean,helium,0.1,293.0,14.0,MICNUI_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0013870967,0.0013870967,0.0021555556,0.0021555556
2060,MICPAQ_clean,helium,0.1,293.0,14.0,MICPAQ_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0015086464,0.0015086464,0.0023444444,0.0023444444
2061,MIDRAT_clean,helium,0.1,293.0,14.0,MIDRAT_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0007024811,0.0007024811,0.0013541667,0.0013541667
2062,MIDSUP01_clean,helium,0.1,293.0,14.0,MIDSUP01_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0039519207,0.0039519207,0.0052,0.0052
2063,MIFGEP01_clean,helium,0.1,293.0,14.0,MIFGEP01_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0022404269,0.0022404269,0.004909375,0.004909375
2064,MIFKUJ_clean,helium,0.1,293.0,14.0,MIFKUJ_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0022557194,0.0022557194,0.0025981481,0.0025981481
2065,MIFNUM_clean,helium,0.1,293.0,14.0,MIFNUM_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0005513737,0.0005513737,0.0059666667,0.0059666667
2066,MIFPUO_clean,helium,0.1,293.0,14.0,MIFPUO_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0012261672,0.0012261672,0.0028875,0.0028875
2067,MIFROK_clean,helium,0.1,293.0,14.0,MIFROK_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0006862026,0.0006862026,0.0071666667,0.0071666667
2068,MIFTIG_clean,helium,0.1,293.0,14.0,MIFTIG_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.00066805,0.00066805,0.0071166667,0.0071166667
2069,MIHHUG_clean,helium,0.1,293.0,14.0,MIHHUG_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0006864317,0.0006864317,0.0021833333,0.0021833333
2070,MIHLAR_clean,helium,0.1,293.0,14.0,MIHLAR_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0006631419,0.0006631419,0.00245,0.00245
2071,MIHLOF_clean,helium,0.1,293.0,14.0,MIHLOF_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0006253083,0.0006253083,0.0011694444,0.0011694444
2072,MIHMEW_clean,helium,0.1,293.0,14.0,MIHMEW_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0010800433,0.0010800433,0.0076,0.0076
2073,MIJHOD_clean,helium,0.1,293.0,14.0,MIJHOD_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0014412265,0.0014412265,0.0033041667,0.0033041667
2074,MIJMAU_clean,helium,0.1,293.0,14.0,MIJMAU_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0012152201,0.0012152201,0.0026208333,0.0026208333
2075,MIJYEK_clean,helium,0.1,293.0,14.0,MIJYEK_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0004457682,0.0004457682,0.0009483333,0.0009483333
2076,MIMSIM_clean,helium,0.1,293.0,14.0,MIMSIM_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.00199983,0.00199983,0.0113166667,0.0113166667
2077,MIMSUY_clean,helium,0.1,293.0,14.0,MIMSUY_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0022714476,0.0022714476,0.0063541667,0.0063541667
2078,MIMVEJ_clean,helium,0.1,293.0,14.0,MIMVEJ_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0013827787,0.0013827787,0.0017125,0.0017125
2079,MINCER_clean,helium,0.1,293.0,14.0,MINCER_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0004059292,0.0004059292,0.0002739583,0.0002739583
2080,MINCIX_clean,helium,0.1,293.0,14.0,MINCIX_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0044373154,0.0044373154,0.0091625,0.0091625
2081,MINCUJ_clean,helium,0.1,293.0,14.0,MINCUJ_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0047521045,0.0047521045,0.0098125,0.0098125
