GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD,MAPE_MEAN,MAPE_STD
Ar,273,0.05,15,struct+input,random_with_input__rf_TRAIN_RATIO0.8,rf,0.9417260313258679,0.0060037936551958744,0.26988916012034714,0.01252491741908219,7.214588912779443,0.25057104604294944
Ar,273,0.05,15,struct,random_struct__cat_TRAIN_RATIO0.8,cat,0.7487052147223331,0.01883128153698225,0.6219096618568779,0.024047556494109983,19.97845106559181,0.7530890482786694
Ar,273,0.05,15,struct,random_struct__gbm_TRAIN_RATIO0.8,gbm,0.7294466905294312,0.017086995021405545,0.6403554059391904,0.022424699039083375,20.358206941652643,0.652721866835017
Ar,273,0.05,15,struct,random_struct__rf_TRAIN_RATIO0.8,rf,0.7498821648152786,0.020603758045855004,0.5933429369542796,0.024304544528720294,19.066119436669634,0.7203569087872267
Ar,273,0.05,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.8,cat,0.9818435432275034,0.0007721684210225613,0.01791723848757164,0.0005141865972360779,3.1498992082234967,0.0970622993214576
Ar,273,0.05,1,struct+input,qt_then_rd__gbm_TRAIN_RATIO0.8,gbm,0.9818780339098664,0.0014212831142376722,0.01688245500532002,0.000512182295832624,2.821831558026062,0.08396547492287162
Ar,273,0.05,1,struct+input,qt_then_rd__rf_TRAIN_RATIO0.8,rf,0.97882895145544,0.0028619517313784484,0.01735723288966438,0.0007158207649049874,2.813159126474085,0.10437266791066423
Ar,273,0.05,1,struct+input,random_with_input__cat_TRAIN_RATIO0.8,cat,0.9712590834676522,0.008355379053306642,0.02732729149171852,0.002267913763781835,4.046878129200956,0.1960351068424109
Ar,273,0.05,1,struct+input,random_with_input__gbm_TRAIN_RATIO0.8,gbm,0.9689602257924772,0.008387706093389811,0.027011503909830183,0.002314981410164292,3.413255117913232,0.10670988405164263
Ar,273,0.05,1,struct+input,random_with_input__rf_TRAIN_RATIO0.8,rf,0.9669240323125077,0.009473497746392187,0.02772394460758666,0.002081626057213827,3.346734002030531,0.08456536766080264
Ar,273,0.05,1,struct,random_struct__cat_TRAIN_RATIO0.8,cat,0.3922699828404989,0.0332009696503892,0.2120076051528578,0.006754842406129608,53.26237274804622,3.763035425428226
Ar,273,0.05,1,struct,random_struct__gbm_TRAIN_RATIO0.8,gbm,0.2886773758616358,0.0231654155273406,0.2262396671479896,0.00686375523482149,55.950846720816024,2.9929315206383684
Ar,273,0.05,1,struct,random_struct__rf_TRAIN_RATIO0.8,rf,0.3685657712297831,0.04449442572084345,0.20412455695225126,0.0090926384717815,51.37163240194941,2.892822013543875
Ar,273,0.05,5,struct+input,qt_then_rd__cat_TRAIN_RATIO0.8,cat,0.9464335513540055,0.0025495434311762414,0.11589123420445309,0.0019201659587502215,5.811728978849528,0.17346663073525323
Ar,273,0.05,5,struct+input,qt_then_rd__gbm_TRAIN_RATIO0.8,gbm,0.9432612176925176,0.00270369248041401,0.11703143379630258,0.0028371204673704638,5.797379146754386,0.1783903325997786
Ar,273,0.05,5,struct+input,qt_then_rd__rf_TRAIN_RATIO0.8,rf,0.9415978804456211,0.004411025994778049,0.11337621357236474,0.002771592962366978,5.615497053177621,0.162903748918535
Ar,273,0.05,5,struct+input,random_with_input__cat_TRAIN_RATIO0.8,cat,0.9416947450159132,0.008463856968845666,0.13174735473686708,0.006034831375540357,6.684782850074512,0.31438225244079654
Ar,273,0.05,5,struct+input,random_with_input__gbm_TRAIN_RATIO0.8,gbm,0.9359534621761296,0.008276920802445324,0.13716629842171657,0.00761708919794165,6.7217794173641705,0.3312624012716694
