GAS,TEMP,MODEL,SAMPLING,LOW,R2_MEAN_HIGH_1,R2_MEAN_HIGH_5,R2_MEAN_HIGH_15,R2_STD_HIGH_1,R2_STD_HIGH_5,R2_STD_HIGH_15,MAE_MEAN_HIGH_1,MAE_MEAN_HIGH_5,MAE_MEAN_HIGH_15,MAE_STD_HIGH_1,MAE_STD_HIGH_5,MAE_STD_HIGH_15,MAPE_MEAN_HIGH_1,MAPE_MEAN_HIGH_5,MAPE_MEAN_HIGH_15,MAPE_STD_HIGH_1,MAPE_STD_HIGH_5,MAPE_STD_HIGH_15,INPUT_HIGH_1,INPUT_HIGH_5,INPUT_HIGH_15
Ar,273,cat,qt_then_rd__cat_TRAIN_RATIO0.8,0.01,0.9805299988199904,0.9425512826938498,0.9422332723045042,0.0015392822094907,0.0022016569618073,0.0031015118276712,0.0198420724351972,0.1188154472969661,0.2650597213679879,0.000491128419754,0.0022385937842222,0.0029638194891623,3.6048843084553504,6.017871920136533,6.906274193098652,0.0972352664161474,0.1730879873205975,0.1227522532937129,struct+input,struct+input,struct+input
Ar,273,cat,qt_then_rd__cat_TRAIN_RATIO0.8,0.05,0.9818435432275034,0.9464335513540056,0.9479354285885446,0.0007721684210225,0.0025495434311762,0.0027591781769916,0.0179172384875716,0.115891234204453,0.2614734102666577,0.000514186597236,0.0019201659587502,0.0051854863032261,3.1498992082234967,5.811728978849528,6.757988190807474,0.0970622993214576,0.1734666307352532,0.1460440741675568,struct+input,struct+input,struct+input
Ar,273,cat,qt_then_rd__cat_TRAIN_RATIO0.8,0.1,0.9864837767652536,0.9507081384015524,0.9489751415362868,0.002859917071406,0.0027413283945549,0.0040402675727531,0.0166462608434824,0.1113871425918551,0.2569445159779865,0.0004685830533932,0.0030435513585424,0.0060557104636664,2.9593374070741274,5.561020496690718,6.672831845087389,0.0635143928644799,0.1450413577779464,0.1545656821742,struct+input,struct+input,struct+input
Ar,273,cat,qt_then_rd__cat_TRAIN_RATIO0.8,0.5,0.9952098391384384,0.958574445986882,0.9492252532220068,0.000431571867354,0.0036115454836743,0.0035536896089841,0.0115222642058371,0.1016228128919754,0.251327016728837,0.0002017927928069,0.001922012874372,0.0064174096488007,2.088217664486243,5.123617484604077,6.539972427018455,0.0295193813553142,0.0901671388467068,0.1215707942184942,struct+input,struct+input,struct+input
Ar,273,cat,qt_then_rd__cat_TRAIN_RATIO0.8,Henry,0.8069886325798461,0.9150345781684804,0.9451369900314786,0.0209249311398476,0.0120186932867256,0.0019828246328572,0.0405498109284686,0.126007994198639,0.2539940728375925,0.0013386624918722,0.003461922212636,0.0059565684349844,6.4338112416852455,6.193430909497642,6.593099510795379,0.2140413817076988,0.206757634646869,0.1042932682153887,struct+input,struct+input,struct+input
Ar,273,cat,random_struct__cat_TRAIN_RATIO0.8,0.01,0.3922699828404989,0.5362652394503648,0.7487052147223331,0.0332009696503892,0.0299180084385739,0.0188312815369822,0.2120076051528578,0.4666019510398178,0.6219096618568779,0.0067548424061296,0.0178824031599264,0.0240475564941099,53.26237274804622,31.42590048039469,19.97845106559181,3.763035425428226,1.4833988480522908,0.7530890482786694,struct,struct,struct
Ar,273,cat,random_struct__cat_TRAIN_RATIO0.8,0.05,0.3922699828404989,0.5362652394503648,0.7487052147223331,0.0332009696503892,0.0299180084385739,0.0188312815369822,0.2120076051528578,0.4666019510398178,0.6219096618568779,0.0067548424061296,0.0178824031599264,0.0240475564941099,53.26237274804622,31.42590048039469,19.97845106559181,3.763035425428226,1.4833988480522908,0.7530890482786694,struct,struct,struct
Ar,273,cat,random_struct__cat_TRAIN_RATIO0.8,0.1,0.3922699828404989,0.5362652394503648,0.7487052147223331,0.0332009696503892,0.0299180084385739,0.0188312815369822,0.2120076051528578,0.4666019510398178,0.6219096618568779,0.0067548424061296,0.0178824031599264,0.0240475564941099,53.26237274804622,31.42590048039469,19.97845106559181,3.763035425428226,1.4833988480522908,0.7530890482786694,struct,struct,struct
Ar,273,cat,random_struct__cat_TRAIN_RATIO0.8,0.5,0.3922699828404989,0.5362652394503648,0.7487052147223331,0.0332009696503892,0.0299180084385739,0.0188312815369822,0.2120076051528578,0.4666019510398178,0.6219096618568779,0.0067548424061296,0.0178824031599264,0.0240475564941099,53.26237274804622,31.42590048039469,19.97845106559181,3.763035425428226,1.4833988480522908,0.7530890482786694,struct,struct,struct
Ar,273,cat,random_struct__cat_TRAIN_RATIO0.8,Henry,0.3922699828404989,0.5362652394503648,0.7487052147223331,0.0332009696503892,0.0299180084385739,0.0188312815369822,0.2120076051528578,0.4666019510398178,0.6219096618568779,0.0067548424061296,0.0178824031599264,0.0240475564941099,53.26237274804622,31.42590048039469,19.97845106559181,3.763035425428226,1.4833988480522908,0.7530890482786694,struct,struct,struct
